Input Size,Avg Case Comparisons,Best Case Comparisons
100, 2561.000000, 99.000000
500, 61653.000000, 499.000000
1000, 241604.000000, 999.000000
1500, 555978.000000, 1499.000000
2000, 997749.000000, 1999.000000
